yil,tumanlarga_mln_m3,maydon_ming_ga,transport_fik,amudaryodan_mln_m3,magistral_yoqotish_mln_m3,dala_fik,dalaga_yetgan_mln_m3,umumiy_fik,yalpi_joriy_mlrd,yalpi_2018narx_mlrd,kurs_som_usd
2014,4219.1,284.1,0.826,5107.869,888.769,0.568,2398.367,0.47,2126.5,4833.0,2320
2015,3955.6,282.3,0.83,4765.783,810.183,0.576,2280.224,0.478,2561.7,5023.4,2570
2016,3683.3,279.89,0.834,4416.427,733.127,0.584,2151.717,0.487,2873.6,4870.4,2965
2017,3679.3,281.02,0.839,4385.34,706.04,0.594,2186.173,0.499,3921.0,5298.4,5120
2018,3725.1,280.2,0.845,4408.402,683.302,0.605,2253.347,0.511,5400.1,5400.1,8340
2019,3888.6,278.51,0.848,4585.613,697.013,0.612,2379.47,0.519,6580.5,5712.2,9500
2020,3547.4,277.52,0.852,4163.615,616.215,0.62,2198.098,0.528,7876.5,5931.1,10480
2021,3300.9,273.05,0.856,3856.192,555.292,0.631,2081.668,0.54,8956.1,5876.7,10840
2022,3490.2,274.24,0.861,4053.659,563.459,0.641,2238.487,0.552,10989.0,6275.8,11220
2023,3610.9,274.58,0.866,4169.63,558.73,0.653,2358.246,0.566,12993.2,6618.9,12340
2024,3511.8,273.8,0.872,4027.294,515.494,0.667,2341.732,0.581,15041.3,7031.8,12780
