tuman,tuman_id,zona,yil,suv_mln_m3,maydon_ming_ga,mehnat_ming_kishi,kapital_2018_mlrd,ogit_kg_ga,paxta_ulush,gala_ulush,sabzavot_ulush,bog_uzum_ulush,shorlanish_indeks,shorlanish_bazaviy,hisoblagich_qamrov,kanal_fik,deflyator,kurs_som_usd,yalpi_2018narx_mlrd,yalpi_joriy_mlrd
Бухоро,1,bosh,2014,311.9,22.07,14.77,108.0,273.0,0.428,0.351,0.15,0.071,0.277,0.28,50.3,0.578,44.0,2320,427.2,188.0
Бухоро,1,bosh,2015,296.0,22.15,12.91,100.5,281.0,0.385,0.358,0.187,0.071,0.273,0.28,54.5,0.586,51.0,2570,425.4,216.9
Бухоро,1,bosh,2016,291.8,22.42,12.33,115.6,294.0,0.329,0.295,0.302,0.074,0.31,0.28,62.9,0.594,59.0,2965,427.1,252.0
Бухоро,1,bosh,2017,285.8,22.83,14.49,107.6,305.0,0.355,0.305,0.245,0.095,0.259,0.28,67.3,0.604,74.0,5120,449.5,332.7
Бухоро,1,bosh,2018,286.8,22.62,13.59,113.8,295.0,0.338,0.31,0.243,0.109,0.291,0.28,71.1,0.615,100.0,8340,425.4,425.4
Бухоро,1,bosh,2019,353.0,22.82,15.3,119.0,312.0,0.329,0.268,0.303,0.099,0.255,0.28,71.9,0.622,115.2,9500,505.2,582.0
Бухоро,1,bosh,2020,272.4,22.8,13.25,114.5,298.0,0.306,0.342,0.222,0.13,0.276,0.28,83.2,0.63,132.8,10480,486.0,645.4
Бухоро,1,bosh,2021,275.8,23.21,15.24,131.3,308.0,0.301,0.296,0.259,0.144,0.292,0.28,86.6,0.641,152.4,10840,533.9,813.6
Бухоро,1,bosh,2022,270.3,23.22,14.25,139.4,313.0,0.273,0.233,0.352,0.142,0.269,0.28,90.7,0.652,175.1,11220,520.1,910.7
Бухоро,1,bosh,2023,277.6,23.38,13.8,142.7,332.0,0.254,0.223,0.379,0.144,0.224,0.28,95.3,0.664,196.3,12340,602.1,1182.0
Бухоро,1,bosh,2024,277.2,23.97,12.41,147.0,350.0,0.221,0.235,0.395,0.148,0.255,0.28,96.7,0.678,213.9,12780,556.2,1189.7
Вобкент,2,bosh,2014,289.3,22.9,13.34,112.7,274.0,0.431,0.337,0.161,0.071,0.248,0.24,46.3,0.578,44.0,2320,389.5,171.4
Вобкент,2,bosh,2015,274.8,22.56,13.13,97.5,306.0,0.376,0.326,0.223,0.074,0.221,0.24,53.3,0.586,51.0,2570,437.6,223.2
Вобкент,2,bosh,2016,295.7,23.08,14.04,102.6,296.0,0.392,0.309,0.208,0.091,0.225,0.24,63.4,0.594,59.0,2965,463.6,273.5
Вобкент,2,bosh,2017,275.2,22.66,12.63,108.8,316.0,0.353,0.31,0.23,0.107,0.221,0.24,65.0,0.604,74.0,5120,432.1,319.8
Вобкент,2,bosh,2018,279.2,22.2,13.04,108.2,287.0,0.345,0.29,0.265,0.101,0.21,0.24,73.1,0.615,100.0,8340,471.1,471.1
Вобкент,2,bosh,2019,272.2,22.5,13.66,118.3,335.0,0.308,0.301,0.257,0.134,0.214,0.24,81.1,0.622,115.2,9500,477.1,549.6
Вобкент,2,bosh,2020,270.6,22.61,11.73,115.3,336.0,0.305,0.286,0.292,0.117,0.213,0.24,87.2,0.63,132.8,10480,492.2,653.6
Вобкент,2,bosh,2021,282.2,22.54,11.97,150.6,348.0,0.259,0.243,0.364,0.134,0.19,0.24,95.4,0.641,152.4,10840,557.5,849.7
Вобкент,2,bosh,2022,283.8,22.36,13.73,149.5,336.0,0.263,0.285,0.32,0.132,0.192,0.24,99.0,0.652,175.1,11220,589.4,1032.0
Вобкент,2,bosh,2023,281.4,22.39,11.64,158.2,357.0,0.241,0.252,0.338,0.169,0.173,0.24,99.0,0.664,196.3,12340,556.2,1091.8
Вобкент,2,bosh,2024,281.3,22.86,11.96,192.4,356.0,0.239,0.246,0.347,0.167,0.185,0.24,99.0,0.678,213.9,12780,643.6,1376.8
Ғиждувон,3,bosh,2014,390.3,30.66,17.94,151.6,298.0,0.411,0.322,0.196,0.07,0.213,0.22,47.8,0.578,44.0,2320,592.4,260.6
Ғиждувон,3,bosh,2015,387.4,30.47,16.89,152.2,301.0,0.4,0.296,0.23,0.074,0.226,0.22,50.6,0.586,51.0,2570,577.1,294.3
Ғиждувон,3,bosh,2016,361.4,30.64,18.82,163.7,304.0,0.337,0.348,0.225,0.089,0.231,0.22,56.3,0.594,59.0,2965,600.7,354.4
Ғиждувон,3,bosh,2017,366.1,30.53,15.7,171.1,309.0,0.376,0.304,0.218,0.101,0.23,0.22,65.9,0.604,74.0,5120,650.9,481.7
Ғиждувон,3,bosh,2018,383.8,31.83,18.54,225.6,318.0,0.354,0.27,0.27,0.106,0.22,0.22,67.7,0.615,100.0,8340,643.5,643.5
Ғиждувон,3,bosh,2019,354.4,31.12,17.21,219.4,341.0,0.325,0.288,0.255,0.132,0.177,0.22,75.0,0.622,115.2,9500,740.6,853.1
Ғиждувон,3,bosh,2020,372.6,30.82,18.28,246.3,350.0,0.287,0.241,0.341,0.132,0.223,0.22,81.1,0.63,132.8,10480,756.4,1004.4
Ғиждувон,3,bosh,2021,353.5,30.3,17.65,279.6,362.0,0.323,0.25,0.309,0.119,0.238,0.22,84.6,0.641,152.4,10840,741.0,1129.2
Ғиждувон,3,bosh,2022,329.4,30.76,18.38,264.2,329.0,0.25,0.249,0.358,0.144,0.225,0.22,87.2,0.652,175.1,11220,800.9,1402.4
Ғиждувон,3,bosh,2023,359.1,31.48,21.59,334.9,339.0,0.231,0.239,0.366,0.165,0.206,0.22,95.8,0.664,196.3,12340,866.6,1701.1
Ғиждувон,3,bosh,2024,395.4,32.47,19.18,336.6,379.0,0.245,0.249,0.34,0.166,0.2,0.22,99.0,0.678,213.9,12780,937.9,2006.3
Жондор,4,orta,2014,519.1,34.68,23.94,167.8,257.0,0.386,0.324,0.222,0.068,0.353,0.36,51.7,0.578,44.0,2320,565.2,248.7
Жондор,4,orta,2015,506.7,33.0,21.45,157.8,265.0,0.391,0.317,0.207,0.085,0.339,0.36,54.5,0.586,51.0,2570,612.7,312.5
Жондор,4,orta,2016,411.7,32.98,20.05,184.1,275.0,0.386,0.301,0.225,0.088,0.381,0.36,53.7,0.594,59.0,2965,595.6,351.4
Жондор,4,orta,2017,413.0,33.09,20.97,198.7,280.0,0.358,0.299,0.242,0.101,0.36,0.36,58.9,0.604,74.0,5120,640.3,473.8
