yil,amudaryodan_mln_m3,magistral_yoqotish_mln_m3,tumanlarga_mln_m3,dalaga_yetgan_mln_m3,transport_fik,dala_fik,umumiy_fik,maydon_ming_ga,yalpi_joriy_mlrd,nol_yoqotish_%,suv_m3_ga,wp_som_m3
2014,5107.869,888.769,4219.1,2398.367,0.826,0.568,0.47,284.1,2126.5,53.0,17979.1235,416.3184
2015,4765.783,810.183,3955.6,2280.224,0.83,0.576,0.478,282.3,2561.7,52.2,16881.9802,537.5192
2016,4416.427,733.127,3683.3,2151.717,0.834,0.584,0.487,279.89,2873.6,51.3,15779.1525,650.6617
2017,4385.34,706.04,3679.3,2186.173,0.839,0.594,0.499,281.02,3921.0,50.1,15605.0815,894.1154
2018,4408.402,683.302,3725.1,2253.347,0.845,0.605,0.511,280.2,5400.1,48.9,15733.055,1224.9563
2019,4585.613,697.013,3888.6,2379.47,0.848,0.612,0.519,278.51,6580.5,48.1,16464.8056,1435.0317
2020,4163.615,616.215,3547.4,2198.098,0.852,0.62,0.528,277.52,7876.5,47.2,15002.9367,1891.7455
2021,3856.192,555.292,3300.9,2081.668,0.856,0.631,0.54,273.05,8956.1,46.0,14122.6589,2322.5244
2022,4053.659,563.459,3490.2,2238.487,0.861,0.641,0.552,274.24,10989.0,44.8,14781.4287,2710.8842
2023,4169.63,558.73,3610.9,2358.246,0.866,0.653,0.566,274.58,12993.2,43.4,15185.4833,3116.1518
2024,4027.294,515.494,3511.8,2341.732,0.872,0.667,0.581,273.8,15041.3,41.9,14708.8897,3734.8403
