Туман,Зона,"Сув, млн м3","Сув улуши, %","Майдон, минг га","Майдон улуши, %",м3/га,"Ялпи маҳс., млрд сўм","Маҳс. улуши, %","Сув-майдон фарқи, п.п."
Қоракўл,oxirgi,450.6,12.831,33.15,12.107,13592.76,1738.1,11.556,0.724
Жондор,orta,429.6,12.233,31.52,11.512,13629.442,1649.4,10.966,0.721
Олот,oxirgi,412.1,11.735,26.77,9.777,15394.098,1193.8,7.937,1.958
Ғиждувон,bosh,395.4,11.259,32.47,11.859,12177.395,2006.3,13.339,-0.6
Шофиркон,bosh,322.0,9.169,27.93,10.201,11528.822,1707.1,11.349,-1.032
Ромитан,orta,293.6,8.36,25.42,9.284,11549.961,1382.0,9.188,-0.924
Пешку,orta,290.6,8.275,23.82,8.7,12199.832,1288.9,8.569,-0.425
Вобкент,bosh,281.3,8.01,22.86,8.349,12305.337,1376.8,9.153,-0.339
Бухоро,bosh,277.2,7.893,23.97,8.755,11564.456,1189.7,7.91,-0.861
Когон,orta,266.9,7.6,18.89,6.899,14129.169,1144.2,7.607,0.701
Қоровулбозор,oxirgi,92.5,2.634,7.0,2.557,13214.286,365.0,2.427,0.077
