Туман,Зона,м3/га,"Сув унумдорлиги, сўм/м3","Сув унумдорлиги, USD/м3","Даромад, USD/га","Сув сиғими, м3/млн сўм (2018 н.)",Шўрланиш индекси,Тармоқ ФИК,Рейтинг
Шофиркон,bosh,11528.8221,5301.5528,0.4148,4782.5242,403.4582,0.197,0.678,1
Ғиждувон,bosh,12177.3945,5074.1022,0.397,4834.8469,421.5801,0.2,0.678,2
Вобкент,bosh,12305.3368,4894.4188,0.383,4712.6347,437.0727,0.185,0.678,3
Ромитан,orta,11549.9607,4707.0845,0.3683,4254.0407,454.4188,0.232,0.678,4
Пешку,orta,12199.8321,4435.3063,0.3471,4233.9587,482.2436,0.263,0.678,5
Бухоро,bosh,11564.4556,4291.847,0.3358,3883.6365,498.3819,0.255,0.678,6
Когон,orta,14129.1689,4286.9989,0.3354,4739.5721,498.9718,0.302,0.678,7
Қоровулбозор,oxirgi,13214.2857,3945.9459,0.3088,4080.0358,542.204,0.564,0.637,8
Қоракўл,oxirgi,13592.7602,3857.3014,0.3018,4102.6113,554.5164,0.439,0.637,9
Жондор,orta,13629.4416,3839.3855,0.3004,4094.5759,557.1262,0.316,0.678,10
Олот,oxirgi,15394.0979,2896.8697,0.2267,3489.4128,738.3981,0.562,0.637,11
