tuman,maydon_ming_ga,suv_mln_m3,yalpi_joriy_mlrd,suv_m3_ga,kum_maydon_%,kum_suv_%
Шофиркон,27.93,322.0,1707.1,11528.822,10.201,9.169
Ромитан,25.42,293.6,1382.0,11549.961,19.485,17.529
Бухоро,23.97,277.2,1189.7,11564.456,28.24,25.423
Ғиждувон,32.47,395.4,2006.3,12177.395,40.099,36.682
Пешку,23.82,290.6,1288.9,12199.832,48.798,44.957
Вобкент,22.86,281.3,1376.8,12305.337,57.148,52.967
Қоровулбозор,7.0,92.5,365.0,13214.286,59.704,55.601
Қоракўл,33.15,450.6,1738.1,13592.76,71.812,68.432
Жондор,31.52,429.6,1649.4,13629.442,83.324,80.665
Когон,18.89,266.9,1144.2,14129.169,90.223,88.265
Олот,26.77,412.1,1193.8,15394.098,100.0,100.0
