Туман,Зона,"Ўртача маҳсулдорлик, сўм/м3","Чекли маҳсулдорлик MPW, сўм/м3","MPW, USD/м3"
Шофиркон,bosh,5301.5528,1257.95692,0.09843
Ғиждувон,bosh,5074.10218,1203.98724,0.09421
Вобкент,bosh,4894.41877,1161.35181,0.09087
Ромитан,orta,4707.08447,1116.90097,0.08739
Пешку,orta,4435.30626,1052.41321,0.08235
Бухоро,bosh,4291.84704,1018.37309,0.07968
Когон,orta,4286.99888,1017.22271,0.07959
Қоровулбозор,oxirgi,3945.94595,936.29738,0.07326
Қоракўл,oxirgi,3857.30138,915.26372,0.07162
Жондор,orta,3839.38547,911.01262,0.07128
Олот,oxirgi,2896.86969,687.37168,0.05378
