tuman,DEA CRS (техник сам.),DEA VRS (соф техник сам.),Миқёс самарадорлиги,"Сув тежаш салоҳияти, %"
Ғиждувон,0.99823,1.0,0.99823,0.17735
Шофиркон,0.9902,0.99492,0.99523,0.98049
Вобкент,0.98873,0.99528,0.99315,1.1273
Бухоро,0.98247,0.98735,0.99493,1.75278
Когон,0.93956,0.9617,0.97657,6.04408
Ромитан,0.93326,0.9393,0.99353,6.67435
Жондор,0.91115,0.93779,0.97277,8.88469
Пешку,0.90335,0.92056,0.9808,9.66515
Қоровулбозор,0.83386,1.0,0.83386,16.61433
Олот,0.76874,0.77626,0.99018,23.12593
Қоракўл,0.76524,0.77537,0.98719,23.47645
