tuman,tuman_id,zona,yil,suv_mln_m3,maydon_ming_ga,mehnat_ming_kishi,kapital_2018_mlrd,ogit_kg_ga,paxta_ulush,gala_ulush,sabzavot_ulush,bog_uzum_ulush,shorlanish_indeks,shorlanish_bazaviy,hisoblagich_qamrov,kanal_fik,deflyator,kurs_som_usd,yalpi_2018narx_mlrd,yalpi_joriy_mlrd,suv_m3_ga,yalpi_real_mln_som_ga,yalpi_mln_som_ga,wp_som_m3,wp_real_som_m3,wp_usd_m3,daromad_usd_ga,suv_sigimi_m3_mln_som,ln_yalpi_2018narx_mlrd,ln_suv_mln_m3,ln_mehnat_ming_kishi,ln_maydon_ming_ga,ln_kapital_2018_mlrd,ln_ogit_kg_ga,t
Бухоро,1,bosh,2014,311.9,22.07,14.77,108.0,273.0,0.428,0.351,0.15,0.071,0.277,0.28,50.3,0.578,44.0,2320,427.2,188.0,14132.306298142275,19.356592659719077,8.518350702310828,602.7572940044886,1369.669765950625,0.2598091784502106,3671.702888927082,730.1029962546817,6.057252287645985,5.742682623613757,2.6925980965432883,3.094219220268645,4.68213122712422,5.60947179518496,0
Бухоро,1,bosh,2015,296.0,22.15,12.91,100.5,281.0,0.385,0.358,0.187,0.071,0.273,0.28,54.5,0.586,51.0,2570,425.4,216.9,13363.431151241535,19.205417607223477,9.792325056433409,732.7702702702703,1437.162162162162,0.28512461878220635,3810.2432126200033,695.8157028678891,6.053029902766137,5.69035945432406,2.558002204858551,3.0978374964911444,4.61015772749913,5.638354669333745,1
Бухоро,1,bosh,2016,291.8,22.42,12.33,115.6,294.0,0.329,0.295,0.302,0.074,0.31,0.28,62.9,0.594,59.0,2965,427.1,252.0,13015.165031222123,19.049955396966993,11.239964317573596,863.6052090472926,1463.6737491432489,0.29126651232623696,3790.881725994467,683.2123624443924,6.057018177847421,5.676068636088686,2.512035317176253,3.109953417644014,4.750135956238277,5.683579767338681,2
Бухоро,1,bosh,2017,285.8,22.83,14.49,107.6,305.0,0.355,0.305,0.245,0.095,0.259,0.28,67.3,0.604,74.0,5120,449.5,332.7,12518.615856329392,19.689005694261933,14.57293035479632,1164.1007697690693,1572.778166550035,0.22736343159552136,2846.275459921156,635.817575083426,6.108135853911675,5.655292265495767,2.673458756332591,3.1280754605417043,4.678420647727684,5.720311776607412,3
Бухоро,1,bosh,2018,286.8,22.62,13.59,113.8,295.0,0.338,0.31,0.243,0.109,0.291,0.28,71.1,0.615,100.0,8340,425.4,425.4,12679.045092838196,18.806366047745357,18.806366047745357,1483.26359832636,1483.26359832636,0.17784935231730933,2254.9599577632325,674.1889985895627,6.053029902766137,5.658785108725465,2.6093342281630525,3.1188344706879745,4.73444252169223,5.68697535633982,4
Бухоро,1,bosh,2019,353.0,22.82,15.3,119.0,312.0,0.329,0.268,0.303,0.099,0.255,0.28,71.9,0.622,115.2,9500,505.2,582.0,15468.88694127958,22.138475021910605,25.503943908851884,1648.7252124645893,1431.1614730878186,0.1735500223646936,2684.625674615988,698.7331749802058,6.224954390476336,5.8664680569332965,2.72785282839839,3.1276373444339294,4.77912349311153,5.7430031878094825,5
Бухоро,1,bosh,2020,272.4,22.8,13.25,114.5,298.0,0.306,0.342,0.222,0.13,0.276,0.28,83.2,0.63,132.8,10480,486.0,645.4,11947.368421052632,21.31578947368421,28.30701754385965,2369.309838472834,1784.1409691629956,0.22607918306038494,2701.05129235302,560.4938271604939,6.186208623900494,5.607271574275357,2.583997552432231,3.126760535960395,4.740574822994295,5.697093486505405,6
Бухоро,1,bosh,2021,275.8,23.21,15.24,131.3,308.0,0.301,0.296,0.259,0.144,0.292,0.28,86.6,0.641,152.4,10840,533.9,813.6,11882.809133993967,23.003015941404566,35.053856096510124,2949.9637418419143,1935.8230601885425,0.2721368765536821,3233.7505624086834,516.5761378535307,6.280208555506141,5.619675965359201,2.7239235502585,3.1445832202863455,4.877484781308751,5.730099782973574,7
Бухоро,1,bosh,2022,270.3,23.22,14.25,139.4,313.0,0.273,0.233,0.352,0.142,0.269,0.28,90.7,0.652,175.1,11220,520.1,910.7,11640.826873385013,22.398794142980186,39.22049956933678,3369.2193858675546,1924.158342582316,0.30028693278676954,3495.5881969105867,519.707748509902,6.254021100779027,5.599532453282402,2.6567569067146595,3.1450139762697455,4.937347498326424,5.746203190540153,8
Бухоро,1,bosh,2023,277.6,23.38,13.8,142.7,332.0,0.254,0.223,0.379,0.144,0.224,0.28,95.3,0.664,196.3,12340,602.1,1182.0,11873.396065012832,25.75278015397776,50.556030795551756,4257.92507204611,2168.9481268011527,0.3450506541366377,4096.923079056058,461.05298123235343,6.400423544470402,5.62618122863265,2.624668592163159,3.1518809560439225,4.960744524482791,5.805134968916488,9
Бухоро,1,bosh,2024,277.2,23.97,12.41,147.0,350.0,0.221,0.235,0.395,0.148,0.255,0.28,96.7,0.678,213.9,12780,556.2,1189.7,11564.455569461827,23.20400500625782,49.63287442636629,4291.8470418470415,2006.4935064935064,0.3358252771398311,3883.6364965857815,498.3818770226537,6.3211279417998645,5.624739267315748,2.5185025992165158,3.176803048446293,4.990432586778736,5.857933154483459,10
